DTM,PRC
20250516 090021,11795
20250516 090028,11790
20250516 090029,11795
20250516 090034,11790
20250516 090041,11785
20250516 090043,11790
20250516 090044,11785
20250516 090052,11780
20250516 090053,11765
20250516 090055,11760
20250516 090056,11755
20250516 090058,11760
20250516 090101,11765
20250516 090102,11760
20250516 090104,11755
20250516 090106,11760
20250516 090108,11755
20250516 090115,11750
20250516 090116,11735
20250516 090117,11730
20250516 090119,11735
20250516 090120,11740
20250516 090122,11730
20250516 090123,11725
20250516 090127,11730
20250516 090131,11725
20250516 090138,11720
20250516 090140,11710
20250516 090142,11705
20250516 090144,11710
20250516 090147,11715
20250516 090150,11720
20250516 090159,11730
20250516 090202,11735
20250516 090204,11740
20250516 090206,11750
20250516 090209,11755
20250516 090210,11745
20250516 090214,11755
20250516 090215,11760
20250516 090219,11765
20250516 090221,11760
20250516 090228,11755
20250516 090229,11760
20250516 090230,11755
20250516 090232,11760
20250516 090233,11755
20250516 090241,11745
20250516 090242,11735
20250516 090243,11740
20250516 090246,11745
20250516 090248,11750
20250516 090254,11740
20250516 090259,11735
20250516 090300,11725
20250516 090302,11730
20250516 090304,11735
20250516 090305,11740
20250516 090306,11730
20250516 090311,11735
20250516 090316,11730
20250516 090318,11740
20250516 090320,11745
20250516 090323,11735
20250516 090328,11740
20250516 090329,11745
20250516 090333,11740
20250516 090335,11745
20250516 090336,11740
20250516 090341,11745
20250516 090349,11740
20250516 090354,11745
20250516 090403,11740
20250516 090405,11735
20250516 090407,11740
20250516 090408,11735
20250516 090412,11730
20250516 090415,11735
20250516 090416,11730
20250516 090420,11725
20250516 090422,11735
20250516 090428,11725
20250516 090440,11730
20250516 090442,11725
20250516 090449,11735
20250516 090450,11730
20250516 090452,11725
20250516 090453,11730
20250516 090455,11725
20250516 090456,11720
20250516 090500,11715
20250516 090509,11725
20250516 090513,11730
20250516 090526,11735
20250516 090532,11730
20250516 090533,11735
20250516 090535,11730
20250516 090538,11735
20250516 090542,11730
20250516 090543,11740
20250516 090554,11735
20250516 090603,11740
20250516 090605,11735
20250516 090618,11740
20250516 090619,11735
20250516 090623,11740
20250516 090624,11745
20250516 090626,11735
20250516 090628,11730
20250516 090631,11725
20250516 090648,11720
20250516 090732,11715
20250516 090738,11720
20250516 090751,11715
20250516 090755,11720
20250516 090808,11715
20250516 090809,11720
20250516 090822,11715
20250516 090824,11710
20250516 090825,11705
20250516 090835,11710
20250516 090841,11705
20250516 090847,11710
20250516 090901,11705
20250516 090907,11700
20250516 090909,11695
20250516 090910,11690
20250516 090912,11695
20250516 090913,11700
20250516 090917,11695
20250516 090921,11700
20250516 090925,11695
20250516 090926,11700
20250516 090945,11705
20250516 090949,11700
20250516 090957,11695
20250516 091000,11690
20250516 091001,11695
20250516 091006,11685
20250516 091007,11680
20250516 091008,11685
20250516 091015,11680
20250516 091018,11685
20250516 091025,11690
20250516 091031,11685
20250516 091034,11680
20250516 091036,11690
20250516 091038,11685
20250516 091039,11690
20250516 091042,11685
20250516 091057,11690
20250516 091108,11685
20250516 091109,11690
20250516 091116,11685
20250516 091120,11690
20250516 091121,11685
20250516 091124,11690
20250516 091135,11685
20250516 091142,11695
20250516 091143,11690
20250516 091146,11695
20250516 091147,11685
20250516 091149,11690
20250516 091153,11685
20250516 091158,11680
20250516 091203,11685
20250516 091207,11680
20250516 091212,11685
20250516 091215,11680
20250516 091218,11685
20250516 091224,11680
20250516 091226,11685
20250516 091232,11680
20250516 091233,11685
20250516 091238,11675
20250516 091239,11680
20250516 091241,11685
20250516 091243,11690
20250516 091253,11695
20250516 091257,11700
20250516 091312,11695
20250516 091315,11700
20250516 091324,11695
20250516 091329,11700
20250516 091332,11695
20250516 091334,11700
20250516 091338,11705
20250516 091340,11710
20250516 091345,11715
20250516 091350,11710
20250516 091352,11715
20250516 091357,11720
20250516 091358,11715
20250516 091400,11710
20250516 091402,11715
20250516 091411,11710
20250516 091412,11705
20250516 091421,11700
20250516 091435,11705
20250516 091439,11700
20250516 091446,11705
20250516 091448,11700
20250516 091453,11695
20250516 091500,11690
20250516 091502,11695
20250516 091506,11690
20250516 091507,11695
20250516 091509,11690
20250516 091512,11685
20250516 091524,11680
20250516 091525,11685
20250516 091545,11680
20250516 091548,11675
20250516 091550,11680
20250516 091551,11675
20250516 091554,11680
20250516 091555,11675
20250516 091607,11680
20250516 091621,11675
20250516 091624,11680
20250516 091627,11675
20250516 091630,11680
20250516 091635,11685
20250516 091637,11680
20250516 091639,11685
20250516 091642,11690
20250516 091644,11685
20250516 091646,11680
20250516 091648,11690
20250516 091649,11685
20250516 091708,11690
20250516 091714,11685
20250516 091717,11690
20250516 091719,11685
20250516 091721,11690
20250516 091724,11685
20250516 091727,11690
20250516 091733,11695
20250516 091734,11685
20250516 091735,11690
20250516 091748,11695
20250516 091750,11690
20250516 091751,11695
20250516 091757,11690
20250516 091826,11685
20250516 091827,11690
20250516 091840,11695
20250516 091846,11700
20250516 091847,11695
20250516 091852,11700
20250516 091901,11695
20250516 091903,11690
20250516 091908,11695
20250516 091909,11690
20250516 091914,11695
20250516 091921,11700
20250516 091922,11695
20250516 091927,11700
20250516 091939,11695
20250516 091941,11700
20250516 091948,11695
20250516 091957,11690
20250516 092002,11687
20250516 092003,11690
20250516 092021,11700
20250516 092052,11695
20250516 092054,11700
20250516 092111,11705
20250516 092127,11700
20250516 092128,11695
20250516 092129,11700
20250516 092141,11705
20250516 092203,11700
20250516 092205,11695
20250516 092227,11690
20250516 092235,11685
20250516 092239,11690
20250516 092241,11685
20250516 092242,11680
20250516 092243,11685
20250516 092301,11680
20250516 092303,11685
20250516 092315,11680
20250516 092317,11675
20250516 092320,11680
20250516 092321,11675
20250516 092330,11680
20250516 092332,11670
20250516 092333,11665
20250516 092337,11670
20250516 092340,11667
20250516 092341,11665
20250516 092346,11670
20250516 092354,11665
20250516 092413,11660
20250516 092415,11670
20250516 092420,11665
20250516 092430,11660
20250516 092431,11665
20250516 092434,11670
20250516 092435,11665
20250516 092440,11670
20250516 092442,11665
20250516 092446,11670
20250516 092448,11665
20250516 092452,11675
20250516 092456,11670
20250516 092507,11667
20250516 092509,11670
20250516 092510,11665
20250516 092516,11660
20250516 092517,11665
20250516 092521,11670
20250516 092522,11665
20250516 092523,11670
20250516 092529,11665
20250516 092532,11670
20250516 092543,11665
20250516 092544,11670
20250516 092615,11665
20250516 092619,11670
20250516 092620,11660
20250516 092625,11670
20250516 092637,11675
20250516 092642,11670
20250516 092644,11675
20250516 092650,11680
20250516 092656,11675
20250516 092702,11670
20250516 092720,11675
20250516 092723,11670
20250516 092732,11665
20250516 092734,11670
20250516 092757,11675
20250516 092808,11670
20250516 092810,11675
20250516 092812,11670
20250516 092820,11665
20250516 092821,11670
20250516 092827,11665
20250516 092830,11670
20250516 092831,11665
20250516 092833,11670
20250516 092835,11665
20250516 092836,11670
20250516 092837,11660
20250516 092841,11670
20250516 092845,11665
20250516 092848,11670
20250516 092925,11665
20250516 092928,11670
20250516 092930,11665
20250516 092935,11670
20250516 092936,11665
20250516 092943,11660
20250516 092955,11655
20250516 092957,11650
20250516 092959,11655
20250516 093001,11650
20250516 093003,11655
20250516 093005,11650
20250516 093012,11645
20250516 093033,11640
20250516 093035,11645
20250516 093041,11640
20250516 093050,11645
20250516 093052,11640
20250516 093053,11645
20250516 093058,11640
20250516 093100,11635
20250516 093102,11642
20250516 093104,11640
20250516 093105,11645
20250516 093106,11650
20250516 093121,11655
20250516 093130,11660
20250516 093138,11665
20250516 093145,11670
20250516 093147,11665
20250516 093203,11660
20250516 093205,11665
20250516 093210,11660
20250516 093217,11665
20250516 093221,11660
20250516 093227,11655
20250516 093233,11660
20250516 093235,11655
20250516 093236,11660
20250516 093238,11655
20250516 093244,11660
20250516 093258,11665
20250516 093313,11660
20250516 093315,11665
20250516 093317,11660
20250516 093324,11665
20250516 093326,11670
20250516 093332,11675
20250516 093342,11680
20250516 093346,11675
20250516 093348,11680
20250516 093349,11675
20250516 093351,11680
20250516 093356,11675
20250516 093358,11680
20250516 093359,11675
20250516 093421,11670
20250516 093423,11675
20250516 093441,11680
20250516 093442,11675
20250516 093448,11680
20250516 093450,11675
20250516 093451,11680
20250516 093458,11675
20250516 093511,11670
20250516 093515,11665
20250516 093518,11670
20250516 093521,11665
20250516 093522,11670
20250516 093531,11675
20250516 093549,11670
20250516 093551,11675
20250516 093556,11680
20250516 093615,11675
20250516 093616,11680
20250516 093632,11675
20250516 093634,11680
20250516 093635,11675
20250516 093640,11670
20250516 093646,11675
20250516 093647,11670
20250516 093701,11665
20250516 093703,11670
20250516 093710,11665
20250516 093712,11670
20250516 093713,11665
20250516 093722,11660
20250516 093746,11655
20250516 093749,11650
20250516 093814,11655
20250516 093845,11650
20250516 093846,11655
20250516 093851,11650
20250516 093910,11645
20250516 093952,11650
20250516 094023,11645
20250516 094028,11650
20250516 094111,11645
20250516 094232,11640
20250516 094233,11650
20250516 094249,11655
20250516 094257,11660
20250516 094309,11655
20250516 094316,11650
20250516 094319,11655
20250516 094323,11650
20250516 094406,11655
20250516 094407,11660
20250516 094409,11655
20250516 094410,11660
20250516 094430,11662
20250516 094436,11660
20250516 094439,11665
20250516 094501,11670
20250516 094519,11675
20250516 094521,11670
20250516 094522,11675
20250516 094529,11680
20250516 094532,11675
20250516 094538,11680
20250516 094558,11685
20250516 094610,11680
20250516 094630,11675
20250516 094714,11680
20250516 094725,11685
20250516 094730,11690
20250516 094747,11685
20250516 094748,11690
20250516 094752,11685
20250516 094754,11690
20250516 094757,11685
20250516 094813,11680
20250516 094820,11685
20250516 094826,11680
20250516 094836,11675
20250516 094846,11680
20250516 094859,11675
20250516 094907,11670
20250516 094924,11665
20250516 094926,11670
20250516 094936,11665
20250516 094939,11670
20250516 094950,11665
20250516 095002,11670
20250516 095004,11665
20250516 095019,11660
20250516 095021,11665
20250516 095024,11660
20250516 095040,11665
20250516 095050,11660
20250516 095052,11665
20250516 095053,11660
20250516 095100,11655
20250516 095106,11660
20250516 095120,11655
20250516 095133,11660
20250516 095136,11655
20250516 095159,11650
20250516 095206,11655
20250516 095230,11650
20250516 095240,11645
20250516 095253,11650
20250516 095300,11655
20250516 095304,11650
20250516 095340,11655
20250516 095350,11650
20250516 095417,11655
20250516 095435,11650
20250516 095512,11645
20250516 095515,11650
20250516 095630,11645
20250516 095639,11640
20250516 095647,11645
20250516 095649,11640
20250516 095657,11645
20250516 095736,11640
20250516 095737,11642
20250516 095742,11640
20250516 095746,11642
20250516 095749,11645
20250516 095750,11640
20250516 095757,11645
20250516 095801,11640
20250516 095824,11635
20250516 095825,11640
20250516 095826,11635
20250516 095839,11630
20250516 095840,11635
20250516 095841,11630
20250516 095843,11635
20250516 095948,11640
20250516 095951,11635
20250516 095953,11640
20250516 095955,11635
20250516 100023,11630
20250516 100036,11635
20250516 100103,11640
20250516 100115,11635
20250516 100120,11645
20250516 100134,11642
20250516 100135,11645
20250516 100140,11640
20250516 100159,11645
20250516 100203,11640
20250516 100238,11635
20250516 100301,11640
20250516 100303,11635
20250516 100316,11640
20250516 100357,11645
20250516 100402,11640
20250516 100409,11635
20250516 100418,11640
20250516 100423,11630
20250516 100424,11640
20250516 100428,11630
20250516 100430,11640
20250516 100433,11635
20250516 100435,11640
20250516 100444,11635
20250516 100449,11640
20250516 100457,11635
20250516 100501,11630
20250516 100503,11635
20250516 100508,11640
20250516 100512,11630
20250516 100513,11635
20250516 100547,11637
20250516 100551,11640
20250516 100553,11645
