DTM,PRC
20250515 090001,11785
20250515 090005,11790
20250515 090009,11795
20250515 090013,11790
20250515 090014,11785
20250515 090016,11790
20250515 090017,11795
20250515 090020,11790
20250515 090028,11795
20250515 090031,11800
20250515 090034,11805
20250515 090036,11810
20250515 090038,11805
20250515 090045,11810
20250515 090047,11815
20250515 090048,11820
20250515 090052,11815
20250515 090053,11820
20250515 090056,11825
20250515 090058,11820
20250515 090100,11825
20250515 090102,11820
20250515 090103,11825
20250515 090104,11820
20250515 090106,11815
20250515 090109,11805
20250515 090111,11815
20250515 090116,11810
20250515 090122,11805
20250515 090123,11810
20250515 090125,11820
20250515 090126,11815
20250515 090129,11810
20250515 090130,11805
20250515 090131,11810
20250515 090133,11805
20250515 090138,11810
20250515 090140,11800
20250515 090141,11795
20250515 090145,11800
20250515 090148,11795
20250515 090149,11800
20250515 090151,11805
20250515 090158,11800
20250515 090200,11795
20250515 090201,11800
20250515 090205,11795
20250515 090206,11790
20250515 090209,11800
20250515 090210,11795
20250515 090213,11800
20250515 090215,11805
20250515 090218,11800
20250515 090222,11805
20250515 090224,11800
20250515 090226,11795
20250515 090227,11790
20250515 090229,11795
20250515 090230,11790
20250515 090231,11785
20250515 090234,11790
20250515 090235,11785
20250515 090237,11780
20250515 090238,11775
20250515 090239,11780
20250515 090241,11785
20250515 090243,11780
20250515 090247,11785
20250515 090248,11780
20250515 090252,11785
20250515 090253,11780
20250515 090256,11775
20250515 090257,11780
20250515 090259,11785
20250515 090300,11780
20250515 090305,11775
20250515 090310,11780
20250515 090316,11775
20250515 090318,11780
20250515 090320,11775
20250515 090321,11780
20250515 090324,11775
20250515 090327,11770
20250515 090329,11775
20250515 090331,11770
20250515 090333,11765
20250515 090339,11760
20250515 090342,11770
20250515 090343,11760
20250515 090347,11755
20250515 090349,11760
20250515 090350,11755
20250515 090352,11760
20250515 090401,11770
20250515 090404,11765
20250515 090412,11760
20250515 090415,11765
20250515 090420,11770
20250515 090421,11765
20250515 090422,11775
20250515 090424,11780
20250515 090428,11785
20250515 090432,11790
20250515 090434,11785
20250515 090435,11795
20250515 090436,11790
20250515 090438,11800
20250515 090442,11795
20250515 090452,11790
20250515 090456,11795
20250515 090457,11790
20250515 090514,11785
20250515 090516,11790
20250515 090518,11785
20250515 090530,11780
20250515 090534,11785
20250515 090536,11790
20250515 090540,11795
20250515 090541,11790
20250515 090542,11785
20250515 090545,11790
20250515 090551,11785
20250515 090600,11780
20250515 090602,11790
20250515 090604,11785
20250515 090611,11780
20250515 090613,11785
20250515 090625,11780
20250515 090627,11775
20250515 090629,11785
20250515 090632,11790
20250515 090633,11795
20250515 090639,11800
20250515 090643,11805
20250515 090644,11800
20250515 090645,11805
20250515 090654,11800
20250515 090655,11805
20250515 090700,11810
20250515 090702,11815
20250515 090703,11820
20250515 090705,11815
20250515 090706,11820
20250515 090712,11815
20250515 090716,11810
20250515 090718,11815
20250515 090724,11810
20250515 090728,11815
20250515 090739,11810
20250515 090746,11805
20250515 090752,11800
20250515 090754,11805
20250515 090756,11810
20250515 090803,11805
20250515 090804,11815
20250515 090806,11820
20250515 090808,11830
20250515 090809,11835
20250515 090810,11840
20250515 090811,11850
20250515 090813,11845
20250515 090816,11850
20250515 090818,11845
20250515 090819,11850
20250515 090821,11845
20250515 090826,11840
20250515 090829,11835
20250515 090834,11840
20250515 090835,11845
20250515 090845,11850
20250515 090850,11845
20250515 090858,11850
20250515 090905,11855
20250515 090907,11845
20250515 090908,11835
20250515 090922,11830
20250515 090923,11835
20250515 090925,11840
20250515 090926,11835
20250515 090927,11830
20250515 090928,11820
20250515 090931,11825
20250515 090932,11815
20250515 090934,11820
20250515 090937,11825
20250515 090938,11820
20250515 090942,11830
