DTM,PRC
20250422 105210,11725
20250422 105213,11730
20250422 105301,11725
20250422 105307,11730
20250422 105328,11735
20250422 105336,11740
20250422 105346,11735
20250422 105353,11730
20250422 105400,11725
20250422 105436,11720
20250422 105457,11710
20250422 105508,11715
20250422 105510,11710
20250422 105515,11715
20250422 105610,11720
20250422 105626,11725
20250422 105650,11715
20250422 105651,11725
20250422 105729,11715
20250422 105813,11710
20250422 105817,11705
20250422 105901,11710
20250422 105938,11705
20250422 105952,11710
20250422 110011,11705
20250422 110030,11700
20250422 110043,11705
20250422 110056,11710
20250422 110058,11715
20250422 110143,11710
20250422 110144,11715
20250422 110149,11710
20250422 110159,11705
20250422 110202,11710
20250422 110203,11705
20250422 110210,11710
20250422 110217,11715
20250422 110229,11710
20250422 110300,11715
20250422 110340,11710
20250422 110413,11705
20250422 110431,11700
20250422 110440,11705
20250422 110505,11710
20250422 110508,11705
20250422 110521,11710
20250422 110553,11715
20250422 110557,11710
20250422 110608,11715
20250422 110617,11705
20250422 110626,11700
20250422 110633,11705
20250422 110650,11710
20250422 110701,11715
20250422 110740,11710
20250422 110748,11715
20250422 110801,11720
20250422 110808,11715
20250422 110837,11720
20250422 110858,11725
20250422 110916,11730
20250422 110928,11725
20250422 111011,11720
20250422 111027,11725
20250422 111058,11720
20250422 111104,11725
20250422 111112,11730
20250422 111115,11725
20250422 111130,11720
20250422 111210,11725
20250422 111223,11720
20250422 111224,11725
20250422 111236,11730
20250422 111252,11720
20250422 111307,11725
20250422 111309,11720
20250422 111325,11725
20250422 111353,11730
20250422 111410,11725
20250422 111532,11730
20250422 111535,11725
20250422 111557,11730
20250422 111637,11725
20250422 111640,11730
20250422 111727,11725
20250422 111737,11720
20250422 111759,11725
20250422 111813,11730
20250422 111818,11720
20250422 111819,11725
20250422 111831,11720
20250422 111841,11725
20250422 111937,11720
20250422 111945,11725
20250422 111951,11720
20250422 112005,11725
20250422 112014,11720
20250422 112016,11725
20250422 112041,11720
20250422 112125,11715
20250422 112213,11720
20250422 112216,11715
20250422 112228,11720
20250422 112240,11710
20250422 112243,11715
20250422 112325,11720
20250422 112337,11725
20250422 112340,11720
20250422 112344,11725
20250422 112359,11720
20250422 112410,11725
20250422 112412,11720
20250422 112425,11725
20250422 112432,11720
20250422 112505,11715
20250422 112515,11720
20250422 112534,11715
20250422 112605,11720
20250422 112607,11715
20250422 112618,11710
20250422 112745,11705
20250422 112805,11710
20250422 112816,11705
20250422 112848,11700
20250422 113053,11705
20250422 113100,11710
20250422 113103,11705
20250422 113112,11710
20250422 113117,11705
20250422 113205,11710
20250422 113210,11700
20250422 113215,11705
20250422 113317,11700
20250422 113335,11695
20250422 113347,11700
20250422 113402,11695
20250422 113421,11700
20250422 113426,11692
20250422 113441,11695
20250422 113446,11690
20250422 113456,11692
20250422 113458,11690
20250422 113500,11687
20250422 113531,11685
20250422 113541,11687
20250422 113552,11685
20250422 113604,11690
20250422 113611,11695
20250422 113625,11690
20250422 113644,11695
20250422 113711,11692
20250422 113715,11690
20250422 113730,11695
20250422 113738,11690
20250422 113742,11695
20250422 113839,11700
20250422 113915,11695
20250422 113917,11700
20250422 113918,11695
20250422 113926,11690
20250422 113930,11685
20250422 114009,11690
20250422 114025,11685
20250422 114037,11690
20250422 114128,11695
20250422 114145,11700
20250422 114204,11695
20250422 114309,11700
20250422 114331,11695
20250422 114345,11700
20250422 114358,11695
20250422 114410,11700
20250422 114428,11695
20250422 114437,11700
20250422 114454,11695
20250422 114616,11700
20250422 114642,11695
20250422 114643,11700
20250422 114707,11695
20250422 114711,11690
20250422 114728,11695
20250422 114744,11690
20250422 114756,11695
20250422 114827,11700
20250422 114856,11695
20250422 115041,11700
20250422 115128,11705
20250422 115129,11700
20250422 115146,11695
20250422 115150,11700
20250422 115206,11695
20250422 115212,11705
20250422 115301,11700
20250422 115309,11705
20250422 115321,11700
20250422 115323,11695
20250422 115435,11690
20250422 115515,11695
20250422 115618,11700
20250422 115644,11695
20250422 115739,11700
20250422 115753,11695
20250422 115758,11700
20250422 115849,11695
20250422 115909,11700
20250422 115927,11705
20250422 115953,11700
20250422 120000,11705
20250422 120009,11700
20250422 120010,11705
20250422 120014,11700
20250422 120022,11705
20250422 120120,11700
20250422 120129,11705
20250422 120148,11700
20250422 120152,11695
20250422 120200,11700
20250422 120205,11695
20250422 120221,11690
20250422 120234,11695
20250422 120304,11700
20250422 120350,11705
20250422 120356,11700
20250422 120437,11695
20250422 120440,11700
20250422 120442,11695
20250422 120443,11700
20250422 120451,11705
20250422 120543,11710
20250422 120559,11705
20250422 120610,11710
20250422 120650,11705
20250422 120702,11710
20250422 120712,11705
20250422 120723,11710
20250422 120757,11705
20250422 120807,11710
20250422 120821,11705
20250422 120839,11710
20250422 120851,11715
20250422 120901,11720
20250422 120904,11715
20250422 120905,11720
20250422 120906,11715
20250422 120947,11720
20250422 120948,11715
20250422 120951,11710
20250422 120955,11705
20250422 121004,11710
20250422 121017,11715
20250422 121021,11705
20250422 121024,11710
20250422 121119,11705
20250422 121121,11710
20250422 121134,11705
20250422 121148,11700
20250422 121159,11705
20250422 121311,11700
20250422 121314,11705
20250422 121329,11700
20250422 121341,11705
20250422 121343,11700
20250422 121358,11705
20250422 121409,11695
20250422 121544,11690
20250422 121550,11685
20250422 121557,11690
20250422 121621,11685
20250422 121622,11690
20250422 121643,11695
20250422 121644,11700
20250422 121727,11695
20250422 121738,11700
20250422 121739,11690
20250422 121742,11695
20250422 121807,11700
20250422 121902,11705
20250422 121940,11700
20250422 121956,11705
20250422 122016,11700
20250422 122020,11705
20250422 122043,11710
20250422 122054,11705
20250422 122123,11710
20250422 122124,11705
20250422 122126,11710
20250422 122132,11705
20250422 122140,11700
20250422 122214,11705
20250422 122218,11710
20250422 122223,11705
20250422 122228,11710
20250422 122233,11705
20250422 122317,11710
20250422 122325,11705
20250422 122357,11707
20250422 122432,11710
20250422 122435,11705
20250422 122524,11710
20250422 122658,11705
20250422 122704,11710
20250422 122715,11715
20250422 122719,11705
20250422 122722,11710
20250422 122749,11715
20250422 122946,11720
20250422 122951,11715
20250422 122958,11720
20250422 123008,11715
20250422 123019,11710
20250422 123021,11715
20250422 123112,11710
20250422 123122,11715
20250422 123140,11720
20250422 123143,11715
20250422 123148,11720
20250422 123154,11715
20250422 123155,11720
20250422 123217,11715
20250422 123226,11720
20250422 123243,11715
20250422 123302,11720
20250422 123307,11715
20250422 123342,11717
20250422 123355,11720
20250422 123433,11725
20250422 123513,11720
20250422 123527,11725
20250422 123541,11720
20250422 123542,11725
20250422 123558,11730
20250422 123704,11735
20250422 123715,11740
20250422 123749,11735
20250422 123802,11730
20250422 123838,11735
20250422 123909,11730
20250422 123913,11735
20250422 123943,11730
20250422 124001,11725
20250422 124008,11730
20250422 124024,11725
20250422 124050,11720
20250422 124051,11730
20250422 124105,11725
20250422 124119,11720
20250422 124229,11725
20250422 124239,11720
20250422 124256,11725
20250422 124344,11730
20250422 124357,11725
20250422 124404,11730
20250422 124417,11725
20250422 124513,11730
20250422 124541,11725
20250422 124633,11720
20250422 124653,11715
20250422 124655,11720
20250422 124706,11715
20250422 124731,11720
20250422 124857,11715
20250422 124931,11720
20250422 124956,11715
20250422 125131,11710
20250422 125141,11715
20250422 125149,11710
20250422 125159,11715
20250422 125207,11710
20250422 125245,11705
20250422 125313,11710
20250422 125349,11705
20250422 125350,11710
20250422 125407,11715
20250422 125528,11720
20250422 125536,11715
20250422 125553,11720
20250422 125603,11715
20250422 125704,11710
20250422 125722,11715
20250422 125817,11710
20250422 125853,11705
20250422 125901,11715
20250422 125917,11705
20250422 125957,11710
20250422 130046,11715
20250422 130053,11710
20250422 130108,11715
20250422 130115,11710
20250422 130139,11715
20250422 130246,11710
20250422 130300,11715
20250422 130313,11710
20250422 130317,11715
20250422 130404,11710
20250422 130409,11715
20250422 130512,11710
20250422 130515,11715
20250422 130517,11720
20250422 130546,11715
20250422 130556,11720
20250422 130602,11710
20250422 130610,11720
20250422 130715,11725
20250422 130757,11720
20250422 130831,11715
20250422 130921,11720
20250422 130929,11715
20250422 131011,11720
20250422 131058,11715
20250422 131059,11720
20250422 131131,11715
20250422 131134,11720
20250422 131143,11715
20250422 131144,11720
20250422 131151,11715
20250422 131200,11720
20250422 131206,11715
20250422 131358,11710
20250422 131404,11715
20250422 131441,11720
20250422 131516,11715
20250422 131517,11710
20250422 131522,11705
20250422 131541,11700
20250422 131546,11705
20250422 131610,11710
20250422 131611,11705
20250422 131616,11710
20250422 131622,11705
20250422 131649,11700
20250422 131655,11705
20250422 131659,11710
20250422 131716,11700
20250422 131717,11710
20250422 131813,11700
20250422 131823,11705
20250422 131826,11700
20250422 131957,11705
20250422 132026,11700
20250422 132046,11705
20250422 132101,11700
20250422 132145,11705
20250422 132211,11710
20250422 132212,11705
20250422 132218,11710
20250422 132257,11715
20250422 132319,11710
20250422 132344,11715
20250422 132351,11710
20250422 132404,11715
20250422 132408,11710
20250422 132435,11715
20250422 132545,11710
20250422 132558,11715
20250422 132711,11720
20250422 132720,11715
20250422 132731,11720
20250422 132737,11715
20250422 132742,11720
20250422 132752,11715
20250422 132759,11720
20250422 132816,11725
20250422 132848,11730
20250422 132854,11720
20250422 132858,11725
20250422 132900,11720
20250422 132906,11725
20250422 132911,11720
20250422 132930,11715
20250422 132949,11720
20250422 133000,11715
20250422 133020,11720
