DTM,PRC
20250418 091828,11720
20250418 091830,11715
20250418 091837,11710
20250418 091838,11715
20250418 091845,11712
20250418 091846,11710
20250418 091850,11705
20250418 091853,11700
20250418 091855,11705
20250418 091858,11710
20250418 091905,11705
20250418 091910,11700
20250418 091911,11705
20250418 091913,11700
20250418 091917,11705
20250418 091923,11700
20250418 091929,11705
20250418 091934,11710
20250418 091936,11705
20250418 091943,11700
20250418 091944,11705
20250418 091952,11710
20250418 091956,11705
20250418 092011,11710
20250418 092016,11705
20250418 092018,11700
20250418 092023,11705
20250418 092027,11700
20250418 092113,11705
20250418 092114,11700
20250418 092118,11697
20250418 092123,11700
20250418 092133,11705
20250418 092153,11710
20250418 092154,11705
20250418 092210,11710
20250418 092211,11700
20250418 092223,11695
20250418 092224,11700
20250418 092226,11695
20250418 092233,11690
20250418 092250,11695
20250418 092257,11700
20250418 092307,11705
20250418 092308,11700
20250418 092310,11705
20250418 092311,11700
20250418 092320,11705
20250418 092332,11710
20250418 092340,11705
20250418 092351,11710
20250418 092405,11705
20250418 092412,11700
20250418 092428,11695
20250418 092435,11700
20250418 092439,11695
20250418 092441,11700
20250418 092442,11695
20250418 092452,11700
20250418 092523,11695
20250418 092535,11690
20250418 092538,11685
20250418 092539,11690
20250418 092540,11685
20250418 092554,11690
20250418 092605,11695
20250418 092612,11690
20250418 092619,11695
20250418 092629,11700
20250418 092631,11695
20250418 092643,11690
20250418 092711,11685
20250418 092712,11690
20250418 092717,11685
20250418 092743,11680
20250418 092745,11685
20250418 092751,11675
20250418 092815,11680
20250418 092825,11675
20250418 092826,11680
20250418 092845,11675
20250418 092905,11680
20250418 092912,11675
20250418 092921,11672
20250418 092925,11675
20250418 092927,11665
20250418 092928,11670
20250418 092933,11660
20250418 092936,11667
20250418 092937,11675
20250418 092942,11670
20250418 092951,11665
20250418 092952,11670
20250418 092953,11665
20250418 092958,11660
20250418 092959,11665
20250418 093000,11660
20250418 093001,11665
20250418 093002,11670
20250418 093003,11665
20250418 093008,11670
20250418 093010,11665
20250418 093015,11670
20250418 093019,11675
20250418 093039,11670
20250418 093041,11665
20250418 093042,11660
20250418 093055,11665
20250418 093107,11670
20250418 093129,11675
20250418 093137,11670
20250418 093142,11665
20250418 093155,11670
20250418 093156,11665
20250418 093201,11670
20250418 093211,11665
20250418 093212,11670
20250418 093213,11675
20250418 093223,11680
20250418 093226,11675
20250418 093233,11670
20250418 093244,11665
20250418 093254,11660
20250418 093308,11655
20250418 093309,11660
20250418 093312,11655
20250418 093313,11660
20250418 093317,11665
20250418 093320,11670
20250418 093322,11665
20250418 093326,11670
20250418 093327,11665
20250418 093338,11670
20250418 093341,11665
20250418 093345,11670
20250418 093352,11665
20250418 093357,11660
20250418 093357,11665
20250418 093359,11660
20250418 093400,11655
20250418 093407,11650
20250418 093412,11655
20250418 093424,11660
20250418 093426,11655
20250418 093428,11660
20250418 093442,11665
20250418 093443,11670
20250418 093449,11675
20250418 093459,11670
20250418 093505,11675
20250418 093508,11680
20250418 093510,11675
20250418 093513,11680
20250418 093520,11675
20250418 093529,11680
20250418 093531,11675
20250418 093539,11680
20250418 093551,11685
20250418 093555,11680
20250418 093604,11685
20250418 093606,11680
20250418 093615,11675
20250418 093617,11680
20250418 093628,11675
20250418 093644,11680
20250418 093648,11685
20250418 093708,11680
20250418 093712,11675
20250418 093722,11680
20250418 093725,11675
20250418 093729,11670
20250418 093735,11675
20250418 093738,11670
20250418 093812,11675
20250418 093815,11670
20250418 093824,11665
20250418 093859,11660
20250418 093906,11670
20250418 093908,11675
20250418 093915,11680
20250418 093943,11685
20250418 093955,11680
20250418 093957,11685
20250418 094021,11690
20250418 094032,11695
20250418 094056,11700
20250418 094116,11705
20250418 094121,11700
20250418 094123,11705
20250418 094125,11710
20250418 094141,11705
20250418 094143,11710
20250418 094148,11715
20250418 094222,11710
20250418 094223,11715
20250418 094224,11705
20250418 094227,11700
20250418 094230,11705
20250418 094245,11700
20250418 094247,11705
20250418 094251,11700
20250418 094253,11695
20250418 094300,11705
20250418 094310,11695
20250418 094313,11700
20250418 094317,11705
20250418 094319,11700
20250418 094331,11695
20250418 094345,11690
20250418 094346,11695
20250418 094352,11690
20250418 094407,11685
20250418 094412,11680
20250418 094421,11685
20250418 094430,11680
20250418 094432,11685
20250418 094447,11680
20250418 094453,11685
20250418 094512,11690
20250418 094517,11685
20250418 094531,11690
20250418 094537,11695
20250418 094656,11700
20250418 094702,11695
20250418 094711,11700
20250418 094716,11705
20250418 094722,11700
20250418 094727,11705
20250418 094744,11700
20250418 094745,11705
20250418 094815,11710
20250418 094823,11705
20250418 094832,11700
20250418 094907,11705
20250418 094914,11695
20250418 095016,11700
20250418 095035,11705
20250418 095045,11710
20250418 095049,11705
20250418 095131,11710
20250418 095140,11705
