DTM,PRC
20250514 090008,11765
20250514 090016,11770
20250514 090022,11765
20250514 090023,11770
20250514 090024,11765
20250514 090028,11760
20250514 090030,11755
20250514 090031,11750
20250514 090033,11745
20250514 090034,11740
20250514 090035,11745
20250514 090039,11740
20250514 090042,11735
20250514 090044,11730
20250514 090046,11735
20250514 090051,11730
20250514 090100,11720
20250514 090102,11730
20250514 090107,11740
20250514 090109,11735
20250514 090117,11730
20250514 090118,11735
20250514 090120,11730
20250514 090122,11735
20250514 090125,11730
20250514 090130,11725
20250514 090132,11730
20250514 090136,11735
20250514 090141,11730
20250514 090144,11735
20250514 090145,11732
20250514 090148,11725
20250514 090150,11730
20250514 090152,11725
20250514 090153,11735
20250514 090202,11740
20250514 090205,11745
20250514 090216,11750
20250514 090225,11755
20250514 090233,11760
20250514 090235,11755
20250514 090239,11760
20250514 090242,11750
20250514 090244,11755
20250514 090250,11750
20250514 090256,11745
20250514 090258,11750
20250514 090301,11740
20250514 090302,11745
20250514 090303,11750
20250514 090308,11747
20250514 090310,11750
20250514 090311,11745
20250514 090313,11740
20250514 090317,11745
20250514 090321,11742
20250514 090323,11750
20250514 090325,11740
20250514 090328,11745
20250514 090330,11740
20250514 090331,11735
20250514 090335,11745
20250514 090337,11740
20250514 090341,11735
20250514 090342,11740
20250514 090348,11745
20250514 090354,11740
20250514 090359,11735
20250514 090400,11740
20250514 090401,11735
20250514 090405,11730
20250514 090406,11735
20250514 090408,11730
20250514 090413,11735
20250514 090415,11730
20250514 090416,11725
20250514 090417,11730
20250514 090419,11720
20250514 090423,11715
20250514 090427,11720
20250514 090428,11715
20250514 090429,11720
20250514 090431,11715
20250514 090435,11720
20250514 090438,11715
20250514 090444,11710
20250514 090445,11715
20250514 090446,11710
20250514 090448,11715
20250514 090451,11710
20250514 090454,11720
20250514 090456,11710
20250514 090457,11715
20250514 090459,11710
20250514 090501,11700
20250514 090503,11705
20250514 090505,11710
20250514 090510,11715
20250514 090512,11705
20250514 090519,11710
20250514 090521,11700
20250514 090522,11705
20250514 090524,11700
20250514 090530,11695
20250514 090537,11690
20250514 090538,11700
20250514 090540,11695
20250514 090547,11690
20250514 090601,11685
20250514 090602,11690
20250514 090609,11687
20250514 090610,11690
20250514 090622,11695
20250514 090625,11700
20250514 090629,11705
20250514 090636,11700
20250514 090649,11710
20250514 090654,11705
20250514 090659,11700
20250514 090701,11695
20250514 090702,11700
20250514 090708,11705
20250514 090710,11700
20250514 090715,11695
20250514 090718,11690
20250514 090720,11685
20250514 090722,11680
20250514 090724,11685
20250514 090727,11690
20250514 090732,11685
20250514 090733,11690
20250514 090735,11685
20250514 090736,11690
20250514 090751,11695
20250514 090758,11700
20250514 090810,11705
20250514 090816,11700
20250514 090821,11695
20250514 090823,11700
20250514 090825,11695
20250514 090829,11700
20250514 090833,11695
20250514 090835,11700
20250514 090840,11695
20250514 090847,11700
20250514 090859,11695
20250514 090905,11690
20250514 090906,11695
20250514 090913,11690
20250514 090918,11685
20250514 090921,11680
20250514 090924,11690
20250514 090927,11685
20250514 090931,11680
20250514 090953,11675
20250514 090955,11680
20250514 090957,11675
20250514 090958,11680
20250514 091000,11675
20250514 091008,11670
20250514 091009,11675
20250514 091013,11670
20250514 091017,11675
20250514 091018,11670
20250514 091024,11665
20250514 091028,11670
20250514 091030,11665
20250514 091046,11660
20250514 091048,11665
20250514 091059,11670
20250514 091101,11665
20250514 091102,11660
20250514 091106,11655
20250514 091108,11665
20250514 091111,11660
20250514 091119,11665
20250514 091120,11660
20250514 091122,11655
20250514 091123,11660
20250514 091130,11665
20250514 091136,11660
20250514 091143,11655
20250514 091145,11660
20250514 091149,11655
20250514 091150,11660
20250514 091153,11655
20250514 091158,11650
20250514 091159,11655
20250514 091207,11650
20250514 091220,11645
20250514 091222,11650
20250514 091225,11645
20250514 091226,11650
20250514 091245,11645
20250514 091251,11640
20250514 091252,11645
20250514 091254,11640
20250514 091257,11645
20250514 091302,11640
20250514 091303,11645
20250514 091306,11650
20250514 091308,11645
20250514 091311,11640
20250514 091314,11635
20250514 091315,11640
20250514 091322,11635
20250514 091323,11640
20250514 091332,11645
20250514 091334,11640
20250514 091337,11637
20250514 091338,11640
20250514 091346,11635
20250514 091348,11640
20250514 091349,11635
20250514 091354,11640
20250514 091355,11635
20250514 091359,11640
20250514 091400,11635
20250514 091402,11637
20250514 091405,11635
20250514 091406,11640
20250514 091407,11635
20250514 091411,11630
20250514 091412,11635
20250514 091425,11640
20250514 091426,11635
20250514 091428,11630
20250514 091430,11635
20250514 091433,11630
20250514 091434,11635
20250514 091439,11630
20250514 091440,11635
20250514 091445,11630
20250514 091447,11635
20250514 091455,11630
20250514 091456,11635
20250514 091458,11630
20250514 091459,11635
20250514 091501,11630
20250514 091505,11625
20250514 091506,11630
20250514 091513,11625
20250514 091520,11620
20250514 091521,11625
20250514 091537,11630
20250514 091540,11625
20250514 091543,11630
20250514 091545,11625
20250514 091550,11630
20250514 091603,11635
20250514 091604,11630
20250514 091611,11625
20250514 091612,11630
20250514 091614,11635
20250514 091625,11640
20250514 091631,11645
20250514 091635,11640
20250514 091640,11635
20250514 091642,11640
20250514 091646,11635
20250514 091647,11630
20250514 091648,11635
20250514 091657,11637
20250514 091659,11635
20250514 091704,11640
20250514 091711,11635
20250514 091713,11640
20250514 091728,11645
20250514 091731,11640
20250514 091733,11645
20250514 091736,11650
20250514 091743,11645
20250514 091747,11650
20250514 091754,11655
20250514 091756,11650
20250514 091811,11655
20250514 091813,11660
20250514 091818,11655
20250514 091822,11660
20250514 091824,11665
20250514 091827,11660
20250514 091830,11665
20250514 091834,11660
20250514 091837,11665
20250514 091838,11660
20250514 091900,11655
20250514 091921,11650
20250514 091926,11652
20250514 091927,11655
20250514 091931,11650
20250514 091940,11655
20250514 092008,11650
20250514 092010,11655
20250514 092023,11650
20250514 092030,11655
20250514 092031,11650
20250514 092035,11655
20250514 092038,11650
20250514 092042,11655
20250514 092056,11660
20250514 092058,11655
20250514 092100,11660
20250514 092104,11655
20250514 092105,11660
20250514 092107,11665
20250514 092112,11660
20250514 092113,11665
20250514 092123,11667
20250514 092124,11665
20250514 092125,11670
20250514 092127,11665
20250514 092132,11670
20250514 092134,11675
20250514 092146,11680
20250514 092152,11685
20250514 092154,11682
20250514 092156,11685
20250514 092157,11680
20250514 092158,11685
20250514 092200,11680
20250514 092211,11685
20250514 092214,11680
20250514 092224,11675
20250514 092227,11680
20250514 092229,11675
20250514 092240,11670
20250514 092244,11665
20250514 092249,11670
20250514 092255,11665
20250514 092317,11660
20250514 092319,11665
20250514 092320,11660
20250514 092323,11655
20250514 092329,11660
20250514 092332,11665
20250514 092339,11660
20250514 092341,11665
20250514 092344,11660
20250514 092348,11655
20250514 092407,11650
20250514 092408,11655
20250514 092411,11650
20250514 092412,11655
20250514 092415,11650
20250514 092421,11647
20250514 092423,11645
20250514 092425,11650
20250514 092427,11645
20250514 092429,11650
20250514 092431,11645
20250514 092434,11640
20250514 092439,11645
20250514 092440,11640
20250514 092442,11645
20250514 092500,11650
20250514 092504,11640
20250514 092505,11645
20250514 092509,11640
20250514 092533,11635
20250514 092536,11640
20250514 092541,11635
20250514 092543,11640
20250514 092545,11635
20250514 092550,11640
20250514 092552,11635
20250514 092558,11630
20250514 092601,11635
20250514 092606,11630
20250514 092612,11635
20250514 092614,11630
20250514 092616,11635
20250514 092638,11640
20250514 092639,11645
20250514 092641,11640
20250514 092650,11642
20250514 092651,11640
20250514 092654,11642
20250514 092655,11645
20250514 092711,11650
20250514 092712,11645
20250514 092714,11650
20250514 092715,11640
20250514 092716,11645
20250514 092724,11640
20250514 092725,11645
20250514 092732,11650
20250514 092745,11645
20250514 092746,11655
20250514 092753,11650
20250514 092754,11655
20250514 092756,11660
20250514 092800,11665
20250514 092802,11660
20250514 092803,11665
20250514 092807,11660
20250514 092809,11665
20250514 092823,11670
20250514 092832,11675
20250514 092839,11670
20250514 092840,11675
20250514 092849,11672
20250514 092852,11675
20250514 092855,11670
20250514 092859,11675
20250514 092900,11670
20250514 092901,11675
20250514 092904,11670
20250514 092907,11665
20250514 092911,11670
20250514 092922,11665
20250514 092930,11670
20250514 092932,11660
20250514 092933,11665
20250514 092937,11660
20250514 092942,11665
20250514 093000,11660
20250514 093009,11665
20250514 093012,11670
20250514 093024,11665
20250514 093025,11670
20250514 093034,11665
20250514 093036,11670
20250514 093056,11675
20250514 093103,11670
20250514 093110,11665
20250514 093112,11670
20250514 093119,11665
20250514 093124,11670
20250514 093125,11665
20250514 093127,11670
20250514 093137,11665
20250514 093141,11670
20250514 093143,11665
20250514 093150,11670
20250514 093152,11665
20250514 093155,11670
20250514 093206,11672
20250514 093210,11670
20250514 093212,11675
20250514 093214,11680
20250514 093220,11675
20250514 093222,11680
20250514 093224,11675
20250514 093225,11680
20250514 093231,11685
20250514 093242,11680
20250514 093247,11685
20250514 093252,11680
20250514 093255,11685
20250514 093305,11690
20250514 093325,11695
20250514 093326,11690
20250514 093329,11695
20250514 093338,11700
20250514 093350,11695
20250514 093352,11700
20250514 093354,11695
20250514 093357,11700
20250514 093359,11695
20250514 093403,11700
20250514 093406,11695
20250514 093408,11700
20250514 093409,11695
20250514 093415,11690
20250514 093417,11695
20250514 093418,11685
20250514 093422,11680
20250514 093424,11685
20250514 093426,11680
20250514 093428,11685
20250514 093453,11680
20250514 093454,11685
20250514 093506,11680
20250514 093511,11685
20250514 093517,11690
20250514 093519,11685
20250514 093525,11680
20250514 093526,11685
20250514 093529,11690
20250514 093530,11685
20250514 093536,11690
20250514 093546,11685
20250514 093547,11690
20250514 093558,11685
20250514 093603,11680
20250514 093605,11685
20250514 093606,11680
20250514 093608,11685
20250514 093609,11680
20250514 093629,11675
20250514 093636,11680
20250514 093637,11675
20250514 093640,11670
20250514 093641,11675
20250514 093646,11670
20250514 093647,11675
20250514 093659,11680
20250514 093709,11675
20250514 093712,11672
20250514 093716,11670
20250514 093731,11665
20250514 093734,11675
20250514 093736,11670
20250514 093742,11665
20250514 093743,11675
20250514 093745,11670
20250514 093746,11675
20250514 093807,11680
20250514 093811,11675
20250514 093821,11670
20250514 093823,11665
20250514 093834,11670
20250514 093835,11665
20250514 093838,11670
20250514 093839,11665
20250514 093847,11660
20250514 093907,11665
20250514 093917,11670
20250514 093918,11665
20250514 093919,11670
20250514 093923,11665
20250514 093942,11670
20250514 094004,11665
20250514 094019,11670
20250514 094021,11665
20250514 094027,11670
20250514 094030,11665
20250514 094046,11670
20250514 094047,11665
20250514 094104,11660
20250514 094113,11665
20250514 094123,11660
20250514 094125,11665
20250514 094140,11670
20250514 094145,11665
20250514 094159,11660
20250514 094204,11665
20250514 094212,11670
20250514 094214,11665
20250514 094219,11660
20250514 094221,11665
20250514 094223,11660
20250514 094225,11665
20250514 094252,11660
20250514 094254,11670
